Sie führen an der HSR den Befehl ping www.nzz.ch aus. Welchen Eintrag findet man sicher in Ihrem ARP Cache? ;MAC-Adresse des Rechners, auf welchem der Server www.nzz.ch ist.;Die Broadcast MAC Adresse FF:FF:FF:FF:FF:FF;MAC-Adresse meines Rechners.;MAC-Adresse, welche zur IP meines Default Gateways gehört.*;;;;;
Welche Aussagen treffen für den Adressbereich 172.16.0.0/12 zu? ;Enthält Unassigned Numbers (non routable, local, private IP addresses) gemäss RFC 1597.*;Ist nicht ein gesamter Class Block wie bei 10.0.0.0/8 und bei 192.168.0.0/16*;Die Adresse 172.17.5.0 gehört in diesen Adressbereich. *;Die Adresse 172.31.255.255 ist eine Hostadresse in diesen Adressbereich. ;;;;;
Welche Aussagen zur Veränderung von IP-Header-Information durch Router treffen zu?;Time-to-live (TTL) Wert wird um die “angebrochenen Sekundenwerte” reduziert*;Die IP Source Adresse wird angepasst. ;Die IP Destination Adresse wird angepasst. ;Die IP Header Checksum wird angepasst.*;;;;;
Wieso macht es Sinn, die ARP Cache Einträge “altern” bzw. nach einigen Minuten löschen zu lassen? ;Der Cache könnte ohne Alterung zu gross werden bzw. keinen Platz mehr haben.*;Die MAC-Adresse, welche zur IP eines bestimmten Rechners gehört, kann sich ändern (z.B. wegen Austausch einer defekten Netzwerk Karte).*;Die IP-Adresse kann sich ändern.;Um MAC-Adressen zu sparen.;;;;;
Woran erkennt man eine  Class B IP-Adresse? ;Erstes Byte beginnt mit “10” (höchstwertige Bits).*;Die erste Zahl der “Dotted Decimal” Darstellung liegt zwischen 128 und 191.*;Daran dass die Netzmaske 255.255.0.0 lautet. *;Daran, dass die Adresse immer mit 152 beginnt.;;;;;
Wie gross ist der maximale Nuztlast von einem  IP-Datagram? ;2^16 Bytes;2^16 - 20 Bytes*;1480 Bytes;Grösse ist nicht beschränkt;;;;;
"Welche WLAN-Geräte versenden ""Probe Requests""?";Access Points;Stationen *;;;;;;;
Welche Interferenzquellen gibt es im 2.4 GHz Band?;Bluetooth *;Radar;Mikrowellenherd *;;;;;;
Welche Bedingungen müssen erfüllt sein, damit Reflexionen für höheren Durchsatz genützt werden können?;Der Sender muss mehr als eine Sendeantenne haben. *;Es muss mindestens zwei reflektierende Objekte zwischen Sender und Empfänger haben.;Sender und Emfpänger dürfen nicht im selben Raum stehen.;Der Empfänger muss mehr als eine Empfangsantenne haben. *;;;;;
Können bei WLAN   gleichzeitig Daten vom Accesspoint  zur Station und von  der Station zum Accesspoint übertragen werden?;ja ;nein *;;;;;;;
Welche Vorteile haben WLAN-Systeme im 2.4GHz-Bereich gegenüber Systemen im 5GHz-Bereich?;Die Signale werden typischweise durch Wände weniger stark gedämpft. *;Man wird automatisch auf freie Kanäle geschaltet. ;Es können bei gleichem Sendepegel grössere Distanzen überbrückt werden.  *;Auch ältere WLAN-Geräte können diese Signale empfangen. *;;;;;
Welche Vorteile haben WLAN-Systeme im 5GHz-Bereich gegenüber Systemen im 2.4GHz-Bereich?;Die Signale werden typischweise durch Wände weniger stark gedämpft.;Man wird automatisch auf freie Kanäle geschaltet.  *;Es können bei gleichem Sendepegel grössere Distanzen überbrückt werden. ;Auch ältere WLAN-Geräte können diese Signale empfangen.;;;;;
